Categoría: Todas las categorías

Mes,cerveza: (México)
2004-01,34
2004-02,44
2004-03,54
2004-04,50
2004-05,61
2004-06,42
2004-07,50
2004-08,32
2004-09,41
2004-10,49
2004-11,44
2004-12,33
2005-01,25
2005-02,36
2005-03,49
2005-04,42
2005-05,47
2005-06,41
2005-07,34
2005-08,31
2005-09,35
2005-10,36
2005-11,48
2005-12,34
2006-01,29
2006-02,34
2006-03,39
2006-04,31
2006-05,42
2006-06,40
2006-07,36
2006-08,34
2006-09,38
2006-10,37
2006-11,36
2006-12,28
2007-01,26
2007-02,32
2007-03,34
2007-04,33
2007-05,37
2007-06,36
2007-07,31
2007-08,26
2007-09,33
2007-10,36
2007-11,33
2007-12,30
2008-01,29
2008-02,31
2008-03,32
2008-04,34
2008-05,32
2008-06,33
2008-07,29
2008-08,27
2008-09,30
2008-10,40
2008-11,34
2008-12,28
2009-01,24
2009-02,33
2009-03,34
2009-04,32
2009-05,33
2009-06,33
2009-07,34
2009-08,33
2009-09,34
2009-10,39
2009-11,35
2009-12,34
2010-01,31
2010-02,37
2010-03,35
2010-04,37
2010-05,41
2010-06,36
2010-07,33
2010-08,33
2010-09,35
2010-10,41
2010-11,34
2010-12,33
2011-01,32
2011-02,32
2011-03,37
2011-04,38
2011-05,44
2011-06,48
2011-07,41
2011-08,42
2011-09,45
2011-10,45
2011-11,42
2011-12,41
2012-01,38
2012-02,41
2012-03,50
2012-04,44
2012-05,47
2012-06,53
2012-07,44
2012-08,46
2012-09,45
2012-10,45
2012-11,40
2012-12,41
2013-01,36
2013-02,44
2013-03,46
2013-04,49
2013-05,47
2013-06,48
2013-07,45
2013-08,48
2013-09,47
2013-10,45
2013-11,43
2013-12,46
2014-01,37
2014-02,46
2014-03,49
2014-04,56
2014-05,58
2014-06,56
2014-07,55
2014-08,52
2014-09,52
2014-10,52
2014-11,49
2014-12,50
2015-01,45
2015-02,51
2015-03,57
2015-04,68
2015-05,65
2015-06,63
2015-07,63
2015-08,69
2015-09,65
2015-10,67
2015-11,57
2015-12,58
2016-01,47
2016-02,48
2016-03,57
2016-04,69
2016-05,63
2016-06,63
2016-07,61
2016-08,54
2016-09,62
2016-10,64
2016-11,53
2016-12,60
2017-01,52
2017-02,60
2017-03,63
2017-04,72
2017-05,73
2017-06,76
2017-07,71
2017-08,77
2017-09,59
2017-10,68
2017-11,71
2017-12,70
2018-01,58
2018-02,68
2018-03,81
2018-04,87
2018-05,80
2018-06,83
2018-07,83
2018-08,84
2018-09,79
2018-10,78
2018-11,74
2018-12,79
2019-01,69
2019-02,78
2019-03,89
2019-04,100
2019-05,88
2019-06,99
2019-07,92
2019-08,88
2019-09,87
2019-10,82
2019-11,82
2019-12,82
2020-01,73
