Categoría: Todas las categorías

Mes,temperatura monterrey: (México)
2004-01,15
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,10
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,5
2005-01,0
2005-02,0
2005-03,3
2005-04,0
2005-05,0
2005-06,6
2005-07,0
2005-08,0
2005-09,3
2005-10,0
2005-11,3
2005-12,12
2006-01,2
2006-02,2
2006-03,2
2006-04,5
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,3
2006-11,6
2006-12,8
2007-01,21
2007-02,3
2007-03,2
2007-04,3
2007-05,2
2007-06,3
2007-07,2
2007-08,0
2007-09,3
2007-10,2
2007-11,5
2007-12,3
2008-01,11
2008-02,4
2008-03,2
2008-04,0
2008-05,2
2008-06,3
2008-07,3
2008-08,3
2008-09,3
2008-10,2
2008-11,4
2008-12,7
2009-01,6
2009-02,2
2009-03,5
2009-04,3
2009-05,2
2009-06,2
2009-07,1
2009-08,1
2009-09,2
2009-10,6
2009-11,7
2009-12,16
2010-01,32
2010-02,14
2010-03,5
2010-04,4
2010-05,3
2010-06,3
2010-07,1
2010-08,1
2010-09,2
2010-10,3
2010-11,6
2010-12,11
2011-01,17
2011-02,33
2011-03,3
2011-04,8
2011-05,6
2011-06,3
2011-07,1
2011-08,3
2011-09,3
2011-10,5
2011-11,9
2011-12,19
2012-01,11
2012-02,13
2012-03,6
2012-04,3
2012-05,5
2012-06,5
2012-07,2
2012-08,2
2012-09,3
2012-10,7
2012-11,10
2012-12,14
2013-01,22
2013-02,9
2013-03,10
2013-04,9
2013-05,6
2013-06,3
2013-07,3
2013-08,4
2013-09,4
2013-10,5
2013-11,22
2013-12,25
2014-01,41
2014-02,31
2014-03,22
2014-04,12
2014-05,8
2014-06,6
2014-07,6
2014-08,5
2014-09,6
2014-10,5
2014-11,26
2014-12,23
2015-01,50
2015-02,38
2015-03,34
2015-04,13
2015-05,7
2015-06,5
2015-07,6
2015-08,6
2015-09,5
2015-10,10
2015-11,29
2015-12,38
2016-01,54
2016-02,29
2016-03,20
2016-04,11
2016-05,9
2016-06,6
2016-07,8
2016-08,7
2016-09,7
2016-10,10
2016-11,20
2016-12,52
2017-01,48
2017-02,28
2017-03,21
2017-04,16
2017-05,12
2017-06,14
2017-07,9
2017-08,9
2017-09,10
2017-10,27
2017-11,30
2017-12,87
2018-01,100
2018-02,47
2018-03,26
2018-04,25
2018-05,16
2018-06,11
2018-07,11
2018-08,10
2018-09,12
2018-10,36
2018-11,70
2018-12,59
2019-01,67
2019-02,54
2019-03,64
2019-04,22
2019-05,14
2019-06,18
2019-07,12
2019-08,16
2019-09,13
2019-10,29
2019-11,52
2019-12,62
2020-01,59
